dataset,metric,mine,paper,delta
dnerf,PSNR,34.0589,34.05,0.0089
dnerf,SSIM,0.9787,0.98,-0.0013
dnerf,LPIPS-vgg,0.0262,0.02,0.0062
dnerf,train_time_sec,808.7,1200,-391.3
dnerf,fps,38.3,82,-43.7
dnerf,storage_mb,24.8,18,6.8
hypernerf,PSNR,25.1343,25.2,-0.0657
hypernerf,MS-SSIM,0.8412,0.845,-0.0038
hypernerf,train_time_sec,3178.9,3600,-421.1
hypernerf,fps,11.7,34,-22.3
hypernerf,storage_mb,70.2,61,9.2
nerfds,PSNR,22.7622,22.79,-0.0278
nerfds,SSIM,0.822,0.8235,-0.0015
nerfds,LPIPS-vgg,0.2188,0.2115,0.0073
